web-scraper-order,web-scraper-start-url,Name_Reviewer,Assesment_Rating,Room_Type,Comments,Date_Review
"1713977182-11","https://www.agoda.com/axon-suites-bintang-kuala-lumpur/hotel/kuala-lumpur-my.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891460&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-05-3&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=0&showReviewSubmissionEntry=false&currencyCode=IDR&isFreeOccSearch=false&tag=f71b0106-fb42-0cf2-b13e-84355fbe83c7&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=426665c7-42bb-44ce-b63e-2d08ee8810ad&ds=WxlrEQ8gfdnauYc%2F","Kenny from Singapore","10.0","Deluxe Two Bedroom Suite","It’s a new accommodation with a good rate. My family enjoyed the holiday","Reviewed February 05, 2024"
"1713977182-12","https://www.agoda.com/axon-suites-bintang-kuala-lumpur/hotel/kuala-lumpur-my.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891460&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-05-3&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=0&showReviewSubmissionEntry=false&currencyCode=IDR&isFreeOccSearch=false&tag=f71b0106-fb42-0cf2-b13e-84355fbe83c7&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=426665c7-42bb-44ce-b63e-2d08ee8810ad&ds=WxlrEQ8gfdnauYc%2F","Anthony from Indonesia","10.0","Deluxe Suite","Dekat dengan pavillion. Lot 10
Apartment bagus very recommended","Reviewed March 17, 2024"
"1713977182-13","https://www.agoda.com/axon-suites-bintang-kuala-lumpur/hotel/kuala-lumpur-my.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891460&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-05-3&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=0&showReviewSubmissionEntry=false&currencyCode=IDR&isFreeOccSearch=false&tag=f71b0106-fb42-0cf2-b13e-84355fbe83c7&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=426665c7-42bb-44ce-b63e-2d08ee8810ad&ds=WxlrEQ8gfdnauYc%2F","Alexander from Singapore","9.2","Premier Two-Bedroom Apartment","Great and clean rooms! Love the concept and layout. Very cozy. However be aware of the very strong sewage smell even after spraying air fresherner.  Check in procedure is a lil hassle. Not your usual Check in at lobby. Have to wait for agent to bring us Check in.","Reviewed December 11, 2023"
"1713977182-14","https://www.agoda.com/axon-suites-bintang-kuala-lumpur/hotel/kuala-lumpur-my.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891460&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-05-3&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=0&showReviewSubmissionEntry=false&currencyCode=IDR&isFreeOccSearch=false&tag=f71b0106-fb42-0cf2-b13e-84355fbe83c7&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=426665c7-42bb-44ce-b63e-2d08ee8810ad&ds=WxlrEQ8gfdnauYc%2F","Immanuel from Indonesia","9.6","Deluxe Two Bedroom Suite","Keselurah sudah hampir baik, hanya saja beberapa detail fasilitas yg belum terpenuhi, seperti peralatan memasak yang belum lengkap, handuk hanya 3 untuk tamu 5 orang, air hangat, lobby yang bau, dan kondisi lift pada saat jam sibuk","Reviewed January 22, 2024"
"1713977182-15","https://www.agoda.com/axon-suites-bintang-kuala-lumpur/hotel/kuala-lumpur-my.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891460&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-05-3&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=0&showReviewSubmissionEntry=false&currencyCode=IDR&isFreeOccSearch=false&tag=f71b0106-fb42-0cf2-b13e-84355fbe83c7&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=426665c7-42bb-44ce-b63e-2d08ee8810ad&ds=WxlrEQ8gfdnauYc%2F","Andrew from Indonesia","10.0","Superior Queen Room","I had a great time","Reviewed February 02, 2024"
"1713977182-16","https://www.agoda.com/axon-suites-bintang-kuala-lumpur/hotel/kuala-lumpur-my.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891460&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-05-3&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=0&showReviewSubmissionEntry=false&currencyCode=IDR&isFreeOccSearch=false&tag=f71b0106-fb42-0cf2-b13e-84355fbe83c7&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=426665c7-42bb-44ce-b63e-2d08ee8810ad&ds=WxlrEQ8gfdnauYc%2F","RUBEENISHWARY from Malaysia","10.0","Studio Plus+ with City View","The best hotel","Reviewed January 16, 2024"
"1713977182-17","https://www.agoda.com/axon-suites-bintang-kuala-lumpur/hotel/kuala-lumpur-my.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891460&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-05-3&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=0&showReviewSubmissionEntry=false&currencyCode=IDR&isFreeOccSearch=false&tag=f71b0106-fb42-0cf2-b13e-84355fbe83c7&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=426665c7-42bb-44ce-b63e-2d08ee8810ad&ds=WxlrEQ8gfdnauYc%2F","Serene from United States","9.2","Deluxe Two Bedroom Suite","QASIM has been very responsive in my enquiries before, during and even after we checked out. He has always remain contactable during our stay and able to attend to us. Location is good as well","Reviewed March 07, 2024"
"1713977182-18","https://www.agoda.com/axon-suites-bintang-kuala-lumpur/hotel/kuala-lumpur-my.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891460&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-05-3&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=0&showReviewSubmissionEntry=false&currencyCode=IDR&isFreeOccSearch=false&tag=f71b0106-fb42-0cf2-b13e-84355fbe83c7&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=426665c7-42bb-44ce-b63e-2d08ee8810ad&ds=WxlrEQ8gfdnauYc%2F","Rajiv from India","9.6","Signature Suite","Very nice property Signature suit good for group and family","Reviewed March 10, 2024"
"1713977182-19","https://www.agoda.com/axon-suites-bintang-kuala-lumpur/hotel/kuala-lumpur-my.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891460&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-05-3&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=0&showReviewSubmissionEntry=false&currencyCode=IDR&isFreeOccSearch=false&tag=f71b0106-fb42-0cf2-b13e-84355fbe83c7&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=426665c7-42bb-44ce-b63e-2d08ee8810ad&ds=WxlrEQ8gfdnauYc%2F","Jin from Malaysia","8.8","Deluxe Two Bedroom Suite","The room is nicely maintained, neat, and clean. But the lobby is very hot and smelly.

We only received the check-in details on the day we reached, and no one contacted us until we called the owner. No parking slot was provided.

Overall is good, within walking distance of the malls and public transport.","Reviewed February 24, 2024"
"1713977182-20","https://www.agoda.com/axon-suites-bintang-kuala-lumpur/hotel/kuala-lumpur-my.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891460&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-05-3&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=0&showReviewSubmissionEntry=false&currencyCode=IDR&isFreeOccSearch=false&tag=f71b0106-fb42-0cf2-b13e-84355fbe83c7&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=426665c7-42bb-44ce-b63e-2d08ee8810ad&ds=WxlrEQ8gfdnauYc%2F","Tengku from Indonesia","9.6","Deluxe Two Bedroom Suite","Dapat kamar yang الْحَمْدُ للَّهِ bagus bersih","Reviewed February 26, 2024"
